Year,Month,State,usage
2022,7,CA,24142722
2022,7,CO,5747802.5
2022,7,CT,2740154.8
2022,7,DC,1040394.7
2022,7,DE,1157938.9
2022,7,FL,26809271
2022,7,GA,14766050
2022,7,HI,789203.2
2022,7,IA,5049246
2022,7,ID,2879640.9
2022,7,IL,13443050
2022,7,IN,9486906.7
2022,7,KS,4393539.8
2022,7,KY,7268839.6
2022,7,LA,9495174.5
2022,7,MA,4887657.9
2022,7,MD,5996868.2
2022,7,ME,953103.28
2022,7,MI,9729781.4
2022,7,MN,6166900.5
2022,7,MO,8259832.8
2022,7,MS,5095415.9
2022,7,MT,1254636.2
2022,7,NC,14142164
2022,7,ND,2068911.7
2022,7,NE,3244982.6
2022,7,NH,1055026.2
2022,7,NJ,8351250.7
2022,7,NM,2719251.6
2022,7,NV,4621021.3
2022,7,NY,13801722
2022,7,OH,14359160
2022,7,OK,7480281.5
2022,7,OR,4669912
2022,7,PA,13503826
2022,7,RI,786652.11
2022,7,SC,8634954
2022,7,SD,1196953.9
2022,7,TN,10489722
2022,7,TX,45245550
2022,7,UT,3563466.1
2022,7,VA,12950497
2022,7,VT,489741.75
2022,7,WA,7078569.9
2022,7,WI,6566112.6
2022,7,WV,2856462.7
2022,7,WY,1408821.8
2022,6,AK,452165.03
2022,6,AL,8284510.6
2022,6,AR,4324647.4
2022,6,AZ,8699689.5
2022,6,CA,21462555
2022,6,CO,4940301.1
2022,6,CT,2281628.3
2022,6,DC,922710.64
2022,6,DE,988133.79
2022,6,FL,24584330
2022,6,GA,13610961
2022,6,HI,739223.49
2022,6,IA,4580306.9
2022,6,ID,2239016.1
2022,6,IL,12370957
2022,6,IN,8795791.6
2022,6,KS,3889055.3
2022,6,KY,6622346
2022,6,LA,9133934.1
2022,6,MA,4018187.1
2022,6,MD,5053606.3
2022,6,ME,871462.39
2022,6,MI,8857373
2022,6,MN,5498846.5
2022,6,MO,7164801.1
2022,6,MS,4611760
2022,6,MT,1160039.3
2022,6,NC,12624025
2022,6,ND,1938879.3
2022,6,NE,2872032
2022,6,NH,870399.71
2022,6,NJ,6514287.8
2022,6,NM,2493255.5
2022,6,NV,3948020.6
2022,6,NY,11840321
2022,6,OH,13148501
2022,6,OK,6456291.6
2022,6,OR,4026301.7
2022,6,PA,11876771
2022,6,RI,531453.89
2022,6,SC,7713057
2022,6,SD,1047131.9
2022,6,TN,8987570.6
2022,6,TX,42434024
2022,6,UT,2904712.9
2022,6,VA,10618297
2022,6,VT,430026.04
2022,6,WA,6646904.2
2022,6,WI,5949952.9
2022,6,WV,2624735.2
2022,6,WY,1278132.1
2022,5,AK,467825.73
2022,5,AL,7217502.7
2022,5,AR,3750601.3
2022,5,AZ,7131518.1
2022,5,CA,18486178
2022,5,CO,4392870.3
2022,5,CT,2118790.9
2022,5,DC,802117.16
2022,5,DE,842839.03
2022,5,FL,22249653
2022,5,GA,11757869
2022,5,HI,751534.55
2022,5,IA,4335162.8
2022,5,ID,2002117.4
2022,5,IL,10767471
2022,5,IN,7960781.8
2022,5,KS,3341509.8
2022,5,KY,5993128.6
2022,5,LA,7834518.5
2022,5,MA,3868891.1
2022,5,MD,4477481.4
2022,5,ME,838854.24
2022,5,MI,7929616.3
2022,5,MN,5128032.5
2022,5,MO,6033711.2
2022,5,MS,3914483.9
2022,5,MT,1154968.7
2022,5,NC,11155134
2022,5,ND,1937350
2022,5,NE,2502243.3
2022,5,NH,828456.8
2022,5,NJ,5611247.5
2022,5,NM,2217157.6
2022,5,NV,3279703.4
2022,5,NY,10366429
2022,5,OH,11568993
2022,5,OK,5596962.8
2022,5,OR,4071465.3
2022,5,PA,10716022
2022,5,RI,605274.87
2022,5,SC,6959584.7
2022,5,SD,979348.45
2022,5,TN,7714574.8
2022,5,TX,36250018
2022,5,UT,2516651.3
2022,5,VA,10052188
2022,5,VT,422002.61
2022,5,WA,6791232.5
2022,5,WI,5568378.9
2022,5,WV,2565279.9
2022,5,WY,1280008.4
2022,4,AK,481308.12
2022,4,AL,6171531.1
2022,4,AR,3491071.9
2022,4,AZ,5882383.9
2022,4,CA,18401717
2022,4,CO,4306093.2
2022,4,CT,1923085.2
2022,4,DC,699273.94
2022,4,DE,839102.1
2022,4,FL,19272217
2022,4,GA,9975676.7
2022,4,HI,713111.14
2022,4,IA,4086823.7
2022,4,ID,1858764.9
2022,4,IL,9721392.3
2022,4,IN,7483222.4
2022,4,KS,2937701.4
2022,4,KY,5633207.2
2022,4,LA,6847687.2
2022,4,MA,3966463.7
2022,4,MD,4043634.2
2022,4,ME,890904.48
2022,4,MI,7448325.1
2022,4,MN,4972648
2022,4,MO,5548656.4
2022,4,MS,3507869.2
2022,4,MT,1244433.5
2022,4,NC,9466516.8
2022,4,ND,1858866.4
2022,4,NE,2392985.2
2022,4,NH,795559.51
2022,4,NJ,5036604.1
2022,4,NM,2046430
2022,4,NV,2790350.8
2022,4,NY,10564604
2022,4,OH,10953126
2022,4,OK,4754476.5
2022,4,OR,4203942.7
2022,4,PA,10795834
2022,4,RI,658811.61
2022,4,SC,5874658.1
2022,4,SD,1042662.9
2022,4,TN,7307638.1
2022,4,TX,32173174
2022,4,UT,2337229
2022,4,VA,9547507.1
2022,4,VT,413000.95
2022,4,WA,7433286.4
2022,4,WI,5249498
2022,4,WV,2457159.9
2022,4,WY,1344295.6
2022,3,AK,527329.47
2022,3,AL,6522094.3
2022,3,AR,3826250.3
2022,3,AZ,5632085.1
2022,3,CA,19707709
2022,3,CO,4614635.7
2022,3,CT,2194931.7
2022,3,DC,812290.12
2022,3,DE,922359.25
2022,3,FL,19593215
2022,3,GA,10499682
2022,3,HI,733333.51
2022,3,IA,4522040.8
2022,3,ID,1941490.1
2022,3,IL,10715881
2022,3,IN,8122451.1
2022,3,KS,3129284.8
2022,3,KY,6092805.1
2022,3,LA,6931128.4
2022,3,MA,4086168.2
2022,3,MD,4666623.7
2022,3,ME,1076171.5
2022,3,MI,8164068.7
2022,3,MN,5644841
2022,3,MO,6180327.5
2022,3,MS,3753469.6
2022,3,MT,1311292
2022,3,NC,10183124
2022,3,ND,2194751.9
2022,3,NE,2656631.1
2022,3,NH,894062.13
2022,3,NJ,5607582.4
2022,3,NM,2060223.5
2022,3,NV,2731290.7
2022,3,NY,11397637
2022,3,OH,12431094
2022,3,OK,5068864.8
2022,3,OR,4417505.7
2022,3,PA,11500270
2022,3,RI,609610.96
2022,3,SC,6181333.1
2022,3,SD,1152365.9
2022,3,TN,7898229.6
2022,3,TX,34025980
2022,3,UT,2513717.3
2022,3,VA,9510686.8
2022,3,VT,465919.02
2022,3,WA,8064505.9
2022,3,WI,5800939.9
2022,3,WV,2779484.9
2022,3,WY,1420201.1
2022,2,AK,510260.5
2022,2,AL,6826948.3
2022,2,AR,4005698.5
2022,2,AZ,5229574.3
2022,2,CA,16541601
2022,2,CO,4343201.6
2022,2,CT,2214557.2
2022,2,DC,805119.37
2022,2,DE,993851.98
2022,2,FL,18069369
2022,2,GA,10792840
2022,2,HI,653068.18
2022,2,IA,4445730.4
2022,2,ID,2002181
2022,2,IL,10919440
2022,2,IN,8410155.5
2022,2,KS,3204159.5
2022,2,KY,6453712.6
2022,2,LA,7651403.6
2022,2,MA,4267110.4
2022,2,MD,4931672.7
2022,2,ME,1073457.5
2022,2,MI,7864373.3
2022,2,MN,5459045.4
2022,2,MO,6785084.1
2022,2,MS,3936967.7
2022,2,MT,1390360.1
2022,2,NC,11704067
